ふりがな,山名<山頂名>,都道府県,標高,緯度,経度
あざみがだけ,莇ヶ岳,山口県,1004,34.3325,131.7777778
もことやま,藻琴山,北海道,1000,43.70444444,144.3311111
[かぶやま]<おかぶやま>,[加無山]<男加無山>,山形県,997,39.00944444,140.2602778
ちょうくろうやま,長九郎山,静岡県,996,34.78833333,138.8680556
たらだけ,多良岳,佐賀県,996,32.97555556,130.0927778
ぬっきべつやま,貫気別山,北海道,994,42.71,140.9227778
しらたかやま,白鷹山,山形県,994,38.22277778,140.1730556
よねやま,米山,新潟県,993,37.28944444,138.4838889
とくさがみね,十種ヶ峰,山口県 島根県,989,34.43833333,131.6952778
ぴやしりやま,ピヤシリ山,北海道,987,44.43361111,142.5841667
うしだけ,牛岳,富山県,987,36.54111111,137.0316667
たかなわさん,高縄山,愛媛県,986,33.94583333,132.85
ばふんがだけ,馬糞ヶ岳,山口県,985,34.25055556,131.8963889
あらおだけ,荒雄岳,宮城県,984,38.83305556,140.6916667
だるまやま,達磨山,静岡県,982,34.955,138.8391667
こしきやま<おとここしきやま>,甑山<男甑山>,山形県,981,39.01194444,140.3105556
おんたけ,御岳,鹿児島県,979,29.85916667,129.8569444
うまみやま,馬見山,福岡県,978,33.48638889,130.7677778
みなこやま,皆子山,京都府 滋賀県,971,35.20222222,135.8352778
つぼがみやま,壺神山,愛媛県,971,33.60555556,132.5547222
くにみやま,国見山,熊本県,969,32.18777778,130.6141667
かまくらだけ,鎌倉岳,福島県,967,37.46694444,140.6888889
ほよしだけ,甫与志岳,鹿児島県,967,31.26416667,130.99
あわがやま,粟鹿山,兵庫県,962,35.27277778,134.9155556
かつらぎさん,葛城山,奈良県 大阪府,959,34.45611111,135.6822222
ななつだけ,七ッ岳,北海道,957,41.62416667,140.2141667
あまがだけ,尼ケ岳,三重県,957,34.5575,136.2197222
しらまやま,白馬山,和歌山県,957,34.01583333,135.3722222
よもぎだだけ,蓬田岳,福島県,952,37.26583333,140.5347222
おおたきやま,大滝山,香川県 徳島県,946,34.12333333,134.1269444
くろもり,黒森,岩手県,944,39.34833333,140.8683333
ふじしゃがだけ,富士写ヶ岳,石川県,942,36.18861111,136.3638889
もっちょむだけ,モッチョム岳,鹿児島県,940,30.25666667,130.5641667
いおうぜん<おくいおうぜん>,医王山<奥医王山>,富山県 石川県,939,36.51277778,136.7961111
かさがたやま,笠形山,兵庫県,939,35.06416667,134.8347222
さんぐんざん,三郡山,福岡県,936,33.55555556,130.5838889
ひゃくりがだけ,百里ヶ岳,福井県 滋賀県,931,35.39166667,135.81
ろっこうさん,六甲山,兵庫県,931,34.77805556,135.2636111
いなおだけ,稲尾岳,鹿児島県,930,31.12333333,130.8847222
あずまねやま,東根山,岩手県,928,39.5875,141.0597222
うんぺんじさん,雲辺寺山,香川県 徳島県,927,34.03527778,133.7230556
あたごやま,愛宕山,京都府,924,35.06027778,135.6341667
かいもんだけ,開聞岳,鹿児島県,924,31.18,130.5283333
たかのすざん,鷹ノ巣山,広島県,922,34.56611111,132.7461111
ちょうろうがだけ,長老ヶ岳,京都府,917,35.30333333,135.4738889
[みなみいおうとう],[南硫黄島],東京都,916,24.23388889,141.4633333
せっぴこさん,雪彦山,兵庫県,915,35.07277778,134.6511111
ございしょざん,御在所山,愛媛県,915,33.34388889,132.7558333
のさかだけ,野坂岳,福井県,913,35.58972222,136.0247222
ごずさん,五頭山,新潟県,912,37.80111111,139.3455556
うんげつやま,雲月山,島根県 広島県,911,34.80222222,132.2388889
なちさん<えぼしやま>,那智山<烏帽子山>,和歌山県,910,33.69611111,135.9008333
しょうがだけ,笙ヶ岳,岐阜県,908,35.28361111,136.5111111
ねのとまりやま,子ノ泊山,三重県,907,33.79444444,135.9305556
あおのやま,青野山,島根県,907,34.46222222,131.7980556
りゅうもんがだけ,竜門岳,奈良県,904,34.44055556,135.8977778
ふくちやま,福智山,福岡県,901,33.74222222,130.8038889
いわわきさん,岩湧山,大阪府,897,34.37416667,135.5511111
さじきがだけ,桟敷ヶ岳,京都府,896,35.15916667,135.7172222
むろねさん,室根山,岩手県,895,38.97527778,141.4472222
くろひめさん,黒姫山,新潟県,891,37.22611111,138.5922222
しらきやま,白木山,広島県,889,34.52138889,132.5755556
あきはさん,秋葉山,静岡県,885,34.98166667,137.8661111
しょうじやま,障子山,愛媛県,885,33.70527778,132.7652778
かまふせやま,釜臥山,青森県,878,41.27861111,141.12
つくばさん,筑波山,茨城県,877,36.22527778,140.1066667
どうだいらさん,堂平山,埼玉県,876,36.00583333,139.19
きっとやさん,屹兎屋山,福島県,875,37.21055556,140.8675
ひかみさん,氷上山,岩手県,874,39.05888889,141.6605556
てんぐだけ,天狗岳,北海道,872,43.18472222,140.6608333
とうきんざん,頭巾山,福井県 京都府,871,35.3775,135.5344444
ものみやま,物見山,岩手県,870,39.20111111,141.4016667
おいしがみね,生石ヶ峰,和歌山県,870,34.105,135.3341667
いまのやま,今ノ山,高知県,868,32.8575,132.8502778
いるむけっぷやま,イルムケップ山,北海道,864,43.62916667,142.1102778
かんざん,冠山,島根県,863,34.9175,132.5019444
ようろうさん,養老山,岐阜県,859,35.26305556,136.5233333
かつらぎさん,葛城山,大阪府 和歌山県,858,34.34805556,135.4344444
かむいぬぷり（ましゅうだけ）,カムイヌプリ（摩周岳）,北海道,857,43.57222222,144.5608333
どうがもり,堂が森,高知県,857,33.16,132.8766667
じんばさん（じんばさん）,陣馬山（陣場山）,東京都 神奈川県,855,35.65222222,139.1666667
にしやま（はちじょうふじ）,西山（八丈富士）,東京都,854,33.13694444,139.7661111
おりつめだけ,折爪岳,岩手県,852,40.26888889,141.3744444
しんぼだけ,新保岳,新潟県,852,38.36111111,139.5108333
いずがたけ,伊豆ヶ岳,埼玉県,851,35.92694444,139.1605556
おやま,御山,東京都,851,33.87444444,139.6019444
ひえいざん<だいひえい>,比叡山<大比叡>,滋賀県 京都府,848,35.06583333,135.8344444
かさとりやま,笠取山,三重県,842,34.73416667,136.2966667
ぽろぬぷりざん,ポロヌプリ山,北海道,841,44.96166667,142.4202778
ひがしとこのおさん,東床尾山,兵庫県,839,35.42194444,134.9158333
のろさん（ぜんだなやま）,野呂山（膳棚山）,広島県,839,34.26222222,132.6661111
ほしのこやま,星居山,広島県,834,34.74805556,133.2216667
はっこうさん,八高山,静岡県,832,34.9075,138.0566667
おおえやま（せんじょうがたけ）,大江山（千丈ヶ嶽）,京都府,832,35.45333333,135.1066667
むかばきやま,行縢山,宮崎県,830,32.62583333,131.5722222
にころやま,仁頃山,北海道,829,43.87833333,143.7183333
りょうぜん,霊山,福島県,825,37.76888889,140.6875
きょうがみね,経が峰,三重県,819,34.76638889,136.3744444
うつだけ,欝岳,北海道,818,44.29166667,143.0825
けなしやま,毛無山,北海道,816,42.29527778,139.8105556
けんそざん<ほしがじょうやま>,嶮岨山<星ヶ城山>,香川県,816,34.51527778,134.3175
いずしやま,出石山,愛媛県,812,33.535,132.4652778
あぽいだけ,アポイ岳,北海道,810,42.10777778,143.0255556
おおえたかやま,大江高山,島根県,808,35.06388889,132.4286111
うきだけ,浮嶽,福岡県 佐賀県,805,33.47,130.0991667
たかとりやま,鷹取山,福岡県,802,33.30305556,130.7227778
あおそやま,青麻山,宮城県,799,38.08472222,140.6075
くろたけ,玄岳,静岡県,798,35.08166667,139.0280556
おたけ,御岳,鹿児島県,796,29.63833333,129.7138889
いわべだけ,岩部岳,北海道,794,41.52722222,140.3108333
ひのさん,日野山,福井県,794,35.85916667,136.2075
みたけ,三嶽,兵庫県,793,35.12722222,135.245
さかきがみね,榊ヶ峰,東京都,792,25.42805556,141.2808333
ほんぐうさん,本宮山,愛知県,789,34.90972222,137.4205556
やはずやま,矢筈山,香川県,789,34.19416667,134.1966667
くもだにやま,雲谷山,福井県,786,35.55777778,135.945
けんびさん,剣尾山,大阪府,784,35.00361111,135.4038889
ひうちだけ,燧岳,青森県,781,41.43916667,141.0530556
ななほらがたけ,七洞岳,三重県,778,34.37305556,136.5158333
くにみやま,国見山,長崎県,776,33.23694444,129.8127778
おやま,雄山,東京都,775,34.09361111,139.5261111
たかはたやま,高畑山,三重県 滋賀県,773,34.88972222,136.3208333
なかつみねやま,中津峰山,徳島県,773,33.9625,134.5094444
ばんだがもり,蟠蛇森,高知県,770,33.44111111,133.2594444
れいさん,霊山,三重県,766,34.81722222,136.2605556
みはらやま<みはらしんざん>,三原山<三原新山>,東京都,758,34.72444444,139.3944444
かならせやま,鹿嵐山,大.県,758,33.43472222,131.2527778
ほっさかさん,堀坂山,三重県,757,34.54666667,136.4327778
やおとめやま,八乙女山,富山県,756,36.54055556,136.9830556
りゅうもんざん,龍門山,和歌山県,756,34.23805556,135.4113889
はいだてさん,佩楯山,大.県,754,32.95305556,131.6458333
うこたきぬぷり,ウコタキヌプリ,北海道,747,43.20833333,143.7975
にしほうべんざん,西鳳翩山,山口県,742,34.21083333,131.4094444
だけやま,岳山,広島県,741,34.64888889,133.1566667
はしかみだけ（たねいちだけ）,階上岳（種市岳）,青森県 岩手県,739,40.40083333,141.5844444
あつみだけ,温海岳,山形県,736,38.62,139.6308333
かつらだけ,桂岳,北海道,734,41.78916667,140.4644444
うすざん<おおうす>,有珠山<大有珠>,北海道,733,42.54388889,140.8391667
えらだけ,江良岳,北海道,732,41.51,139.3672222
じゅうにしんざん,十二神山,岩手県,731,39.53861111,141.975
ぽろしりやま,ポロシリ山,北海道,730,43.9625,141.8361111
しらがだけ,白髪岳,兵庫県,722,35.04611111,135.1347222
ふたごさん,両子山,大.県,720,33.58305556,131.6016667
まるやがただけ,丸屋形岳,青森県,718,41.15277778,140.5866667
ほんざん,本山,秋田県,715,39.90694444,139.7538889
やしおやま,八塩山,秋田県,713,39.23666667,140.2277778
ぬきさん,貫山,福岡県,712,33.78055556,130.9094444
とくせんじょうやま,徳仙丈山,宮城県,710,38.84833333,141.47
かんなんざん,神南山,愛媛県,710,33.5175,132.6327778
かばさん,加波山,茨城県,709,36.29888889,140.1436111
さんだいみょうじんやま,三大明神山,福島県,706,37.05194444,140.7625
いおうだけ,硫黄岳,鹿児島県,704,30.79305556,130.3052778
びんねしりだけ,敏音知岳,北海道,703,44.89305556,142.2344444
まやさん,摩耶山,兵庫県,702,34.73305556,135.2041667
かつらぎさん,桂木山,山口県,702,34.30527778,131.3027778
おおひらやま,大平山,岡山県,698,34.89888889,133.7069444
ほうらいじさん,鳳来寺山,愛知県,695,34.98416667,137.5827778
ゆわんだけ,湯湾岳,鹿児島県,694,28.29611111,129.3211111
あおばやま,青葉山,福井県,693,35.505,135.4838889
てんじょうがだけ,天井ヶ岳,山口県,691,34.31111111,131.0427778
やはずだけ,矢筈岳,熊本県 鹿児島県,687,32.12277778,130.4005556
たいこやま,太鼓山,京都府,683,35.69527778,135.2041667
じゅうぶざん,鷲峰山,京都府,682,34.83055556,135.9083333
ごさそうざん,呉娑々宇山,広島県,682,34.42277778,132.5477778
くらだけ,倉岳,熊本県,682,32.42777778,130.3269444
ぽんぽんやま,ポンポン山,京都府 大阪府,679,34.93527778,135.6238889
やえやま,八重山,鹿児島県,677,31.73444444,130.4483333
よつだきやま,四ッ滝山,青森県,670,41.12166667,140.4005556
はなおやま,花尾山,山口県,669,34.28388889,131.2211111
はちまんだけ,八幡岳,北海道,665,41.85194444,140.23
りゅうおうさん,龍王山,広島県,665,34.45583333,133.0833333
きんぼうざん,金峰山,熊本県,665,32.81416667,130.6388889
いさなごさん,磯砂山,京都府,661,35.54861111,135.0380556
みょうけんさん,妙見山,大阪府 兵庫県,660,34.92888889,135.4672222
たつわれさん,竪破山,茨城県,658,36.71083333,140.5622222
ございしょのみね,五在所ノ峯,高知県,658,33.17722222,133.1508333
ふるだけ,古岳,鹿児島県,657,30.44333333,130.2172222
くにみだけ,国見岳,福井県,656,36.07916667,136.0838889
なんたいさん,男体山,茨城県,654,36.72416667,140.4197222
くとやま,久斗山,兵庫県,650,35.62111111,134.5627778
やたてやま,矢立山,長崎県,648,34.1775,129.2261111
おおじやま,大地山,新潟県,646,37.95861111,138.4797222
いのかわだけ,井之川岳,鹿児島県,645,27.77861111,128.9830556
いこまやま,生駒山,大阪府 奈良県,642,34.67833333,135.6788889
ほうだつさん,宝達山,石川県,637,36.78194444,136.8130556
きんぽうざん,金峯山,鹿児島県,636,31.46777778,130.3830556
やひこやま,弥彦山,新潟県,634,37.70472222,138.8088889
ぱんけざん,パンケ山,北海道,632,44.85694444,142.1497222
おおひらやま,大平山,山口県,631,34.07333333,131.6302778
さなげやま,猿投山,愛知県,629,35.20583333,137.1669444
まえだけ,前岳,鹿児島県,628,29.96805556,129.9255556
たかすずやま,高鈴山,茨城県,623,36.62111111,140.5877778
やぐらだけ,櫓岳,鹿児島県,620,30.82833333,129.9375
くすやがだけ,久須夜ヶ岳,福井県,619,35.5575,135.7336111
えさん,恵山,北海道,618,41.80472222,141.1661111
たいりゅうじやま,太竜寺山,徳島県,618,33.87416667,134.5197222
くるそんざん（おだけ）,狗留孫山（御岳）,山口県,616,34.21472222,130.9763889
ぞうずさん<おおさやま>,象頭山<大麻山>,香川県,616,34.19666667,133.7886111
なくいだけ,名久井岳,青森県,615,40.38805556,141.3083333
りゅうおうざん,竜王山,山口県,614,34.06833333,130.9358333
こくぞうざん,虚空蔵山,長崎県,609,33.09055556,129.9213889
ゆづるはさん,諭鶴羽山,兵庫県,608,34.235,134.8141667
だいまんじさん,大満寺山,島根県,608,36.25666667,133.3305556
おたけ,尾岳,鹿児島県,604,31.72305556,129.7394444
たかおさん,高尾山,東京都,599,35.62527778,139.2436111
あだちやま（きりがたけ）,足立山（霧ヶ岳）,福岡県,598,33.85944444,130.9172222
とうこうさん,東光山,秋田県,594,39.40638889,140.1616667
おとわやま,音羽山,京都府,593,34.97694444,135.8530556
ぜんじのもりやま,善司ノ森山,和歌山県,591,33.59361111,135.5469444
のまだけ,野間岳,鹿児島県,591,31.40444444,130.1583333
はちろうだけ,八郎岳,長崎県,590,32.67027778,129.8563889
くまがたけ,熊ヶ岳,鹿児島県,590,31.45527778,130.4638889
かむいやま,神威山,北海道,584,42.16027778,139.4427778
はんせいざん,飯盛山,福井県,584,35.45194444,135.66
いぬなきやま（くまがしろ）,犬鳴山（熊ヶ城）,福岡県,584,33.68722222,130.5491667
みたけ,御岳,鹿児島県,584,29.465,129.5947222
おおむろやま,大室山,静岡県,580,34.90305556,139.0947222
てんじょうさん,天上山,東京都,572,34.21944444,139.1530556
くるひだけ,来日岳,兵庫県,567,35.61194444,134.7855556
せきどうさん,石動山,石川県,564,36.96555556,136.9708333
ながうらだけ,長浦岳,長崎県,561,32.91361111,129.7447222
ありあけやま,有明山,長崎県,558,34.20444444,129.265
あさまがたけ,朝熊ヶ岳,三重県,555,34.46111111,136.7813889
やくらいさん,,宮城県,553,38.57555556,140.7052778
うたがきやま,歌垣山,大阪府,553,34.97416667,135.4766667
はちぶせやま,鉢伏山,石川県,544,37.37777778,136.9708333
はっとうじさん,八塔寺山,岡山県,538,34.92305556,134.2522222
はなたかせん,鼻高山,島根県,536,35.4125,132.7527778
みせん,弥山,広島県,535,34.27944444,132.3194444
こうやま,高山,山口県,533,34.65222222,131.6133333
もいわやま,藻岩山,北海道,531,43.0225,141.3222222
おおざさん,皇座山,山口県,526,33.85305556,132.1422222
かどやま,角山,熊本県,526,32.39944444,130.0938889
おもとだけ,於茂登岳,沖縄県,526,24.42722222,124.1833333
みょうけんやま,妙見山,兵庫県,522,34.49722222,134.9433333
わがくにさん,吾国山,茨城県,518,36.32194444,140.2011111
しらたけ,白嶽,長崎県,518,34.26416667,129.2497222
にじょうさん<おだけ>,二上山<雄岳>,奈良県,517,34.52583333,135.6775
くろかみざん,黒髪山,佐賀県,516,33.21388889,129.9022222
かんむりだけ（にしだけ）,冠岳（西岳）,鹿児島県,516,31.74861111,130.3311111
あとさぬぷり（いおうざん）,アトサヌプリ（硫黄山）,北海道,508,43.61027778,144.4386111
ふっこしえぼし,吹越烏帽子,青森県,508,41.0375,141.3172222
みやつかやま,宮塚山,東京都,508,34.52027778,139.2791667
ほろづきやま,母衣月山,北海道,504,42.77,140.215
よなはだけ,与那覇岳,沖縄県,503,26.71694444,128.2186111
つつがたけ,筒ヶ岳,熊本県,501,32.98472222,130.5275
かなやま,金山,岡山県,499,34.74472222,133.9408333
おたけ,御岳,鹿児島県,497,29.90305556,129.5416667
[よこあてじま],[横当島],鹿児島県,495,28.80083333,128.9947222
れぶんだけ,礼文岳,北海道,490,45.3725,141.0158333
おおひらやま,大平山,香川県,479,34.32972222,133.9525
みたけ<おだけ>,御岳<雄岳>,長崎県,479,34.57194444,129.3816667
きんぼうざん,金峯山,山形県,471,38.68222222,139.7980556
ほうりゅうざん,宝立山,石川県,471,37.42861111,137.1625
こみだけ,古見岳,沖縄県,469,24.35916667,123.8911111
ぼんじゅさん,梵珠山,青森県,468,40.79972222,140.5755556
みわやま,三輪山,奈良県,467,34.535,135.8669444
ちぶさやま,乳房山,東京都,463,26.65944444,142.1613889
ててがたけ,父ヶ岳,長崎県,460,32.69833333,128.6811111
やえだけ,八重岳,沖縄県,453,26.63555556,127.9283333
たくひやま,焼火山,島根県,452,36.07472222,133.0319444
きんかさん,金華山,宮城県,444,38.29527778,141.5666667
しらはたやま,白旗山,兵庫県,440,34.90833333,134.3808333
さんのうざん（おだけ）,山王山（雄嶽）,長崎県,439,32.93333333,129.0530556
くまがみね,熊ヶ峰,広島県,438,34.43333333,133.3683333
しぎさん,信貴山,奈良県,437,34.61277778,135.6683333
わしがとうざん,鷲ヶ頭山,愛媛県,436,34.23916667,133.0213889
みかみやま,三上山,滋賀県,432,35.05055556,136.0377778
ぽろしりやま,幌尻山,北海道,427,45.16555556,142.0086111
いいのやま（さぬきふじ）,飯野山（讃岐富士）,香川県,422,34.27444444,133.8458333
そせきざん,俎石山,和歌山県 大阪府,420,34.30833333,135.2077778
はぐろさん,羽黒山,山形県,414,38.7025,139.9827778
ぼうじゅうさん,房住山,秋田県,409,40.06055556,140.2161111
あたごやま,愛宕山,千葉県,408,35.115,139.9869444
きざん,基山,佐賀県,404,33.44277778,130.5102778
くわはたやま,桑畑山,青森県,400,41.3875,141.4408333
しょうわしんざん,昭和新山,北海道,398,42.5425,140.8644444
いおうやま,硫黄山,東京都,394,30.48388889,140.3030556
かのうざん,鹿野山,千葉県,379,35.25555556,139.9716667
きよすみやま<みょうけんやま>,清澄山<妙見山>,千葉県,377,35.1625,140.1522222
ごけんざん（やくりやま）,五剣山（八栗山）,香川県,375,34.36111111,134.1413889
しょしゃざん,書写山,兵庫県,371,34.89277778,134.6563889
おんなだけ,恩納岳,沖縄県,363,26.47944444,127.8747222
かんぷうざん,寒風山,秋田県,355,39.93361111,139.8752778
とみさん,富山,千葉県,349,35.09888889,139.8813889
あさひやま,朝日山,島根県,344,35.50777778,132.9763889
わかくさやま（みかさやま）,若草山（三笠山）,奈良県,342,34.69111111,135.8544444
いよがたけ,伊予ヶ岳,千葉県,336,35.10722222,139.9138889
はこだてやま,函館山,北海道,334,41.75888889,140.7041667
のこぎりやま,鋸山,千葉県,329,35.16027778,139.8408333
きんかざん,金華山,岐阜県,329,35.43333333,136.7813889
かさぎやま,笠置山,京都府,324,34.75194444,135.9505556
たいはくさん,太白山,宮城県,321,38.235,140.8022222
ちゅうおうざん,中央山,東京都,320,27.07333333,142.2186111
いまきらだけ,イマキラ岳,鹿児島県,292,29.14444444,129.2080556
びざん,眉山,徳島県,290,34.06111111,134.5163889
しのぶやま,信夫山,福島県,275,37.77083333,140.4616667
ふたがみやま,二上山,富山県,274,36.79,137.0152778
たかだてやま,高館山,山形県,273,38.76305556,139.7475
おおぐすやま,大楠山,神奈川県,241,35.25,139.6280556
おおやま,大山,鹿児島県,240,27.36916667,128.5666667
あまめがくら,天女ヶ倉,鹿児島県,238,30.74361111,131.0533333
ののだけやま,箟岳山,宮城県,236,38.56583333,141.1786111
